=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.07.26 22:04:39 =~=~=~=~=~=~=~=~=~=~=~=
Tstart,A0,A1,Tstop
284,418,158,608
1344,421,158,1568
2404,421,158,2632
3468,421,158,3704
4540,422,158,4768
5608,421,158,5832
6668,421,158,6896
7732,422,158,7960
9044,422,158,9272
10656,421,158,10880
12444,422,158,12672
14228,421,158,14456
16012,422,158,16240
17796,422,158,18024
19584,422,158,19808
21368,422,158,21592
23152,422,158,23376
24940,422,158,25168
26724,421,158,26952
28508,422,158,28736
30292,422,158,30520
32080,422,158,32304
33864,422,158,34088
35648,422,158,35872
37432,422,158,37656
39220,422,158,39448
41004,422,158,41232
42788,422,158,43016
44572,422,158,44800
46360,422,158,46584
48148,422,158,48376
49928,422,158,50152
51712,423,158,51936
53500,422,158,53728
55284,422,157,55512
57068,422,158,57296
58852,422,158,59080
60640,422,158,60864
62424,422,158,62648
64208,423,158,64432
65992,422,158,66216
67780,423,158,68008
69564,422,158,69792
71348,422,158,71576
73132,423,158,73360
74920,422,158,75144
76704,422,158,76928
78488,422,158,78712
80272,423,158,80496
82060,422,158,82288
83844,423,158,84072
85628,422,158,85856
87412,423,158,87640
89200,423,159,89424
90984,422,158,91208
92768,423,158,92992
94552,422,158,94776
96340,423,158,96568
98124,422,158,98352
99908,423,158,100136
101780,423,158,102008
103732,423,158,103960
105688,422,158,105912
107644,423,158,107872
109600,422,158,109824
111552,423,158,111776
113508,422,158,113736
115464,423,158,115688
117420,423,158,117648
119372,423,158,119600
121328,424,158,121552
123284,423,158,123512
125240,423,158,125464
127192,422,158,127416
129148,423,159,129376
131104,423,158,131328
133060,423,158,133288
135012,423,158,135240
136968,423,158,137192
138924,423,158,139152
140880,423,158,141104
142832,423,158,143056
144788,423,158,145016
146744,423,158,146968
148700,423,158,148928
150652,423,158,150880
152608,423,158,152832
154564,423,158,154792
156516,423,158,156744
158472,423,158,158696
160428,423,158,160656
162384,423,158,162608
164340,424,158,164568
166292,423,158,166520
168248,424,158,168472
170204,423,158,170432
172160,424,158,172384
174112,423,158,174336
176068,424,158,176296
178024,423,158,178248
179980,424,158,180208
181932,423,158,182160
183888,424,158,184112
185844,424,158,186072
187796,424,158,188024
189752,424,159,189976
191708,424,158,191936
